,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,HA
0,54,78,60,4,0,90,4,bowled,1,v Zimbabwe,Lahore,31-May-15,1
1,25,48,30,3,0,83.33,4,lbw,2,v Sri Lanka,Dambulla,11-Jul-15,2
2,12,23,19,1,0,63.15,4,bowled,1,v Sri Lanka,Pallekele,15-Jul-15,2
3,62*,79,62,2,4,100,6,not out,2,v England,Abu Dhabi,11-Nov-15,1
4,4,8,6,0,0,66.66,2,lbw,2,v England,Abu Dhabi,13-Nov-15,1
5,22,44,30,2,0,73.33,2,caught,1,v England,Sharjah,17-Nov-15,1
6,51,65,51,5,1,100,4,caught,2,v England,Dubai (DSC),20-Nov-15,1
7,62,105,76,6,0,81.57,4,caught,2,v New Zealand,Wellington,25-Jan-16,2
8,83,129,77,10,1,107.79,4,caught,1,v New Zealand,Auckland,31-Jan-16,2
9,29,-,29,2,0,100,4,caught,1,v Ireland,Dublin (Malahide),18-Aug-16,2
10,40,44,42,4,0,95.23,4,lbw,1,v England,Southampton,24-Aug-16,2
11,30,49,33,5,0,90.9,4,bowled,1,v England,Lord's,27-Aug-16,2
12,9,31,19,0,0,47.36,4,caught,2,v England,Nottingham,30-Aug-16,2
13,12,31,21,0,0,57.14,4,caught,1,v England,Leeds,1-Sep-16,2
14,31,38,29,6,0,106.89,3,bowled,2,v England,Cardiff,4-Sep-16,2
15,120,177,131,8,3,91.6,3,caught,1,v West Indies,Sharjah,30-Sep-16,1
16,123,164,126,9,1,97.61,3,caught,1,v West Indies,Sharjah,2-Oct-16,1
17,117,-,106,8,1,110.37,3,bowled,1,v West Indies,Abu Dhabi,5-Oct-16,1
18,33,70,46,3,0,71.73,4,caught,2,v Australia,Brisbane,13-Jan-17,2
19,34,75,49,5,0,69.38,3,caught,2,v Australia,Melbourne,15-Jan-17,2
20,84,157,100,4,1,84,3,caught,1,v Australia,Perth,19-Jan-17,2
21,31,47,39,4,0,79.48,3,caught,2,v Australia,Sydney,22-Jan-17,2
22,100,153,109,7,1,91.74,3,caught,2,v Australia,Adelaide,26-Jan-17,2
23,13,-,21,0,0,61.9,4,caught,1,v West Indies,Providence,7-Apr-17,2
24,125*,-,132,7,3,94.69,3,not out,1,v West Indies,Providence,9-Apr-17,2
25,16,-,22,3,0,72.72,3,bowled,2,v West Indies,Providence,11-Apr-17,2
26,8,15,12,1,0,66.66,3,caught,2,v India,Birmingham,4-Jun-17,2
27,31*,80,51,4,0,60.78,3,not out,2,v South Africa,Birmingham,7-Jun-17,2
28,10,22,18,1,0,55.55,3,caught,2,v Sri Lanka,Cardiff,12-Jun-17,2
29,38*,65,45,2,1,84.44,3,not out,2,v England,Cardiff,14-Jun-17,2
30,46,84,52,4,0,88.46,3,caught,1,v India,The Oval,18-Jun-17,2
31,103,-,131,5,0,78.62,3,caught,1,v Sri Lanka,Dubai (DSC),13-Oct-17,1
32,101,-,133,6,0,75.93,3,caught,1,v Sri Lanka,Abu Dhabi,16-Oct-17,1
33,30,-,39,1,0,76.92,3,bowled,2,v Sri Lanka,Abu Dhabi,18-Oct-17,1
34,69*,-,101,5,0,68.31,3,not out,2,v Sri Lanka,Sharjah,20-Oct-17,1
35,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Sharjah,23-Oct-17,1
36,0,1,1,0,0,0,3,lbw,2,v New Zealand,Wellington,6-Jan-18,2
37,10,30,17,2,0,58.82,3,caught,1,v New Zealand,Nelson,9-Jan-18,2
38,8,43,28,1,0,28.57,3,run out,2,v New Zealand,Dunedin,13-Jan-18,2
39,3,8,9,0,0,33.33,3,caught,1,v New Zealand,Hamilton,16-Jan-18,2
40,10,20,21,2,0,47.61,3,caught,2,v New Zealand,Wellington,19-Jan-18,2
41,30,31,34,3,0,88.23,3,caught,1,v Zimbabwe,Bulawayo,13-Jul-18,2
42,29*,56,36,1,0,80.55,3,not out,2,v Zimbabwe,Bulawayo,16-Jul-18,2
43,19*,49,34,3,0,55.88,3,not out,2,v Zimbabwe,Bulawayo,18-Jul-18,2
44,DNB,-,-,-,-,-,-,-,1,v Zimbabwe,Bulawayo,20-Jul-18,2
45,106*,111,76,9,2,139.47,3,not out,1,v Zimbabwe,Bulawayo,22-Jul-18,2
46,33,-,36,3,1,91.66,3,caught,2,v Hong Kong,Dubai (DSC),16-Sep-18,1
47,47,-,62,6,0,75.8,3,bowled,1,v India,Dubai (DSC),19-Sep-18,1
48,66,-,94,4,1,70.21,3,stumped,2,v Afghanistan,Abu Dhabi,21-Sep-18,1
49,9,-,25,0,0,36,3,run out,1,v India,Dubai (DSC),23-Sep-18,1
50,1,-,3,0,0,33.33,3,lbw,2,v Bangladesh,Abu Dhabi,26-Sep-18,1
51,0,-,1,0,0,0,3,caught,2,v New Zealand,Abu Dhabi,7-Nov-18,1
52,46,-,50,5,0,92,3,caught,2,v New Zealand,Abu Dhabi,9-Nov-18,1
53,92,-,100,4,1,92,3,caught,1,v New Zealand,Dubai (DSC),11-Nov-18,1
54,49,79,69,5,0,71.01,3,bowled,2,v South Africa,Port Elizabeth,19-Jan-19,2
55,12,18,15,2,0,80,3,caught,1,v South Africa,Durban,22-Jan-19,2
56,69,109,72,7,1,95.83,3,lbw,1,v South Africa,Centurion,25-Jan-19,2
57,41*,71,53,2,0,77.35,3,not out,2,v South Africa,Johannesburg,27-Jan-19,2
58,24,41,25,4,0,96,3,bowled,1,v South Africa,Cape Town,30-Jan-19,2
59,16,-,20,3,0,80,3,caught,1,v England,The Oval,8-May-19,2
60,51,83,52,1,0,98.07,3,caught,2,v England,Southampton,11-May-19,2
61,15,17,11,3,0,136.36,3,bowled,1,v England,Bristol,14-May-19,2
62,115,150,112,13,1,102.67,3,caught,1,v England,Nottingham,17-May-19,2
63,80,101,83,9,1,96.38,3,run out,2,v England,Leeds,19-May-19,2
64,22,47,33,2,0,66.66,3,caught,1,v West Indies,Nottingham,31-May-19,2
65,63,83,66,4,1,95.45,3,caught,1,v England,Nottingham,3-Jun-19,2
66,30,37,28,7,0,107.14,3,caught,2,v Australia,Taunton,12-Jun-19,2
67,48,83,57,3,1,84.21,3,bowled,2,v India,Manchester,16-Jun-19,2
68,69,113,80,7,0,86.25,3,caught,1,v South Africa,Lord's,23-Jun-19,2
69,101*,198,127,11,0,79.52,3,not out,2,v New Zealand,Birmingham,26-Jun-19,2
70,45,63,51,5,0,88.23,3,bowled,2,v Afghanistan,Leeds,29-Jun-19,2
71,96,102,98,11,0,97.95,3,lbw,1,v Bangladesh,Lord's,5-Jul-19,2
72,115,-,105,8,4,109.52,3,caught,1,v Sri Lanka,Karachi,30-Sep-19,1
73,31,-,26,2,0,119.23,3,lbw,2,v Sri Lanka,Karachi,2-Oct-19,1
